inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restocked,next_restock_date,location_code,is_active,notes
1,1,101,45,10,100,2023-11-15,2023-12-15,A1-B2-C3,true,"High-demand item"
2,2,101,120,20,200,2023-11-20,2023-12-20,A2-B3-C4,true,"Good stock levels"
3,3,102,25,5,50,2023-11-10,2023-12-10,B1-C2-D3,true,"Heavy item - ground floor"
4,4,102,80,15,150,2023-11-25,2023-12-25,B2-C3-D4,true,"Standard item"
5,5,103,200,50,500,2023-11-30,2023-12-30,C1-D2-E3,true,"Bulk storage"
6,6,101,60,10,100,2023-11-18,2023-12-18,A3-B4-C5,true,"Electronics section"
7,7,102,12,2,25,2023-11-05,2023-12-05,B3-C4-D5,true,"Large item - special handling"
8,8,103,150,30,300,2023-11-22,2023-12-22,C2-D3-E4,true,"Cable storage"
9,9,102,35,5,75,2023-11-28,2023-12-28,B4-C5-D6,true,"Furniture section"
10,10,101,75,15,150,2023-11-12,2023-12-12,A4-B5-C6,true,"Electronics section" 
